turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],Turbine Tax [M€]
15,EIB1N,9,63.78895084292933,-42.11867032158069,3752.76087371696,3887.957720188302,3.477322959797874,593.2728836849525,97.82786997902495,121.74379203073316
15,EIB1N,10,63.7745776963743,-42.04131327091686,3753.2941344488863,3887.957720188302,3.463607256842643,592.9255153651762,97.770590599238,121.74379203073316
15,EIB1S,1,63.61001258554407,-37.621334564501865,3741.8035895818975,3876.914713778591,3.4850166736066224,573.0778018921427,94.4977972752607,121.74379203073316
15,EIB1S,2,63.61264422099466,-37.5318185834924,3741.189462331207,3876.914713778591,3.5008572916245777,572.6758344483279,94.4315147602314,121.74379203073316
15,EIB1S,3,63.59702207842055,-37.50423824050927,3742.04938464928,3876.914713778591,3.4786767077954703,572.5519861718142,94.41109276990436,121.74379203073316
15,EIB1S,4,63.60223206747936,-37.60668774439381,3742.227373445092,3876.914713778591,3.47408571704759,573.0120310122119,94.48695197073522,121.74379203073316
15,EIB1S,5,63.5794920367279,-37.63888942648204,3743.8406481956654,3876.914713778591,3.4324733817326174,573.1566312019164,94.51079585260877,121.74379203073316
15,EIB1S,6,63.59181227563057,-37.62380590321888,3742.978222799606,3876.914713778591,3.4547185292204947,573.0888993263179,94.49962718924708,121.74379203073316
15,EIB1S,7,63.560635216078126,-37.37900595756293,3743.749840409994,3876.914713778591,3.434815651098225,571.98963629762,94.31836395675909,121.74379203073316
15,EIB1S,8,63.56312353175442,-37.444741597222205,3743.918657224534,3876.914713778591,3.430461239742717,572.2848191995265,94.36703820994316,121.74379203073316
15,EIB1S,9,63.62643845895183,-37.53359395370312,3740.318042290568,3876.914713778591,3.5233344443342163,572.6838066675606,94.4328293411738,121.74379203073316
15,EIB1S,10,63.57334078006201,-37.53373503838864,3743.709404572959,3876.914713778591,3.435858641208156,572.6844402019278,94.4329338079705,121.74379203073316
15,EIB2,1,63.78845285440749,-44.47742369142539,7529.025869541409,7752.705300961667,2.8851790792629792,1207.729516952356,199.14883926666545,243.4875840614663
15,EIB2,2,63.76517524653709,-44.54856887293285,7532.715507524611,7752.705300961667,2.837587460080128,1208.3684653597306,199.25419881273424,243.4875840614663
15,EIB2,3,63.78199715032683,-44.64518681191154,7531.520100977776,7752.705300961667,2.853006678281122,1209.236182286249,199.39728119691264,243.4875840614663
15,EIB2,4,63.7914367466329,-44.779350409691645,7531.644042246266,7752.705300961667,2.851407994161458,1210.4410933612214,199.59596528853425,243.4875840614663
15,EIB2,5,63.77277710239806,-44.5856435110501,7532.109736686234,7752.705300961667,2.8454011304682147,1208.70142931424,199.30910298136416,243.4875840614663
15,EIB2,6,63.78641167485361,-44.7655364936751,7532.150565282966,7752.705300961667,2.844874493698889,1210.3170318372877,199.57550813472437,243.4875840614663
15,EIB2,7,63.77553785760279,-44.3558057721752,7529.471388214605,7752.705300961667,2.8794324572013696,1206.6372774757442,198.9687341844304,243.4875840614663
15,EIB2,8,63.76068878887024,-44.50095835956671,7532.817278733552,7752.705300961667,2.836274741422707,1207.9408796674177,199.1836919706674,243.4875840614663
15,EIB2,9,63.81001154973716,-44.61704666162512,7527.652883922078,7752.705300961667,2.902888840772424,1208.9834581547225,199.3556081925339,243.4875840614663
15,EIB2,10,63.78749489265867,-44.59324767270447,7530.299598315733,7752.705300961667,2.868749604326445,1208.7697215987705,199.32036405348688,243.4875840614663
17,EIB1N,1,63.64047872258514,-42.07430125136148,3757.356488397032,3881.371544252774,3.1951348754378763,591.4921166681972,97.53422998810544,126.2392834348922
17,EIB1N,2,63.65259062991101,-41.98090058531861,3756.116657151772,3881.371544252774,3.2270779973762016,591.0738236533377,97.46525546424608,126.2392834348922
17,EIB1N,3,63.69355357791739,-42.170772257298125,3754.437665224365,3881.371544252774,3.2703356939987542,591.9241601388646,97.60547189656953,126.2392834348922
17,EIB1N,4,63.66937424694307,-41.97688890437485,3755.022219831502,3881.371544252774,3.2552751773625053,591.0558574204646,97.46229291810272,126.2392834348922
17,EIB1N,5,63.61865324779166,-42.071774720575625,3758.742907679843,3881.371544252774,3.1594150463258237,591.4808016506036,97.53236419565069,126.2392834348922
17,EIB1N,6,63.66682609823642,-42.15519596665538,3756.070765186836,3881.371544252774,3.228260362022633,591.8544020327469,97.59396911745569,126.2392834348922
17,EIB1N,7,63.70014497266656,-42.13074419720383,3753.817421142182,3881.371544252774,3.2863157174289115,591.7448952722934,97.57591197475108,126.2392834348922
17,EIB1N,8,63.64522724449296,-42.163369476546535,3757.494717797212,3881.371544252774,3.191573520937178,591.8910069333241,97.60000509104007,126.2392834348922
17,EIB1N,9,63.645433665603775,-42.02770036849252,3756.807531849666,3881.371544252774,3.2092782405114706,591.2834155462864,97.49981616812434,126.2392834348922
17,EIB1N,10,63.62665323324312,-42.15274679958066,3758.632374895567,3881.371544252774,3.1622628227629885,591.8434334869859,97.59216045655434,126.2392834348922
17,EIB1S,1,63.4854085517777,-37.38153184865719,3743.942922595594,3871.218820378345,3.2877474430730342,570.4756427535742,94.06871363959634,126.2392834348922
17,EIB1S,2,63.4710592476329,-37.474165276649714,3745.3232638616,3871.218820378345,3.2520909397842086,570.8904997081702,94.13712157350028,126.2392834348922
17,EIB1S,3,63.4749227943712,-37.66942425865317,3746.04861532104,3871.218820378345,3.23335390906866,571.764963153893,94.28131642653018,126.2392834348922
17,EIB1S,4,63.46524237904144,-37.387308002568346,3745.263087747206,3871.218820378345,3.2536453885815004,570.5015111433422,94.07297921373666,126.2392834348922
